Lake_ID,STN,Site.ID,Lake_Name,Latitude,Longitude,meanTP_yearly,Secchi.depth_avg,Lake.Area
3722,6236,1,lake of islands,44.77305556,-77.74527778,5.7,5.4,588224.42
3723,6236,1,lake of islands,44.77305556,-77.74527778,7.1,5.1,588224.42
3724,6236,1,lake of islands,44.77305556,-77.74527778,9,5.2,588224.42
3725,6236,1,lake of islands,44.77305556,-77.74527778,6.6,5.1,588224.42
3726,6236,1,lake of islands,44.77305556,-77.74527778,4.8,5.2,588224.42
3727,2474,1,lake of two rivers,45.57888889,-78.48222222,7.25,3.1,376620.5
3728,2483,1,lane lake,45.34638889,-79.92888889,4.8,4.9,206617.78
3729,2483,1,lane lake,45.34638889,-79.92888889,4.2,3.9,206617.78
3730,7633,1,lanes lake,44.53111111,-77.92861111,5.575,3.8,2.84
3731,2496,1,lasswade lake,44.77388889,-77.99944444,13.4,3.5,324370.95
3732,2496,1,lasswade lake,44.77388889,-77.99944444,8.1,4.7,324370.95
3733,2496,1,lasswade lake,44.77388889,-77.99944444,4.95,4.6,324370.95
3734,2496,1,lasswade lake,44.77388889,-77.99944444,4.35,4.8,324370.95
3735,2496,1,lasswade lake,44.77388889,-77.99944444,6.45,4.9,324370.95
3736,2496,1,lasswade lake,44.77388889,-77.99944444,6.45,5,324370.95
3737,2496,1,lasswade lake,44.77388889,-77.99944444,6.6,4.9,324370.95
3738,2496,1,lasswade lake,44.77388889,-77.99944444,6,4.6,324370.95
3739,2496,1,lasswade lake,44.77388889,-77.99944444,4.4,4.7,324370.95
3740,2496,1,lasswade lake,44.77388889,-77.99944444,6,5,324370.95
3741,2496,1,lasswade lake,44.77388889,-77.99944444,5.9,5,324370.95
3742,7181,1,le grou lake,45.85111111,-79.91416667,7.8,2.5,1313554.04
3743,7181,1,le grou lake,45.85111111,-79.91416667,6.85,2.5,1313554.04
3744,7181,1,le grou lake,45.85111111,-79.91416667,19.6,2.5,1313554.04
3745,7181,1,le grou lake,45.85111111,-79.91416667,10.55,3,1313554.04
3746,7181,1,le grou lake,45.85111111,-79.91416667,7.85,2.6,1313554.04
3747,7181,1,le grou lake,45.85111111,-79.91416667,8,2.7,1313554.04
3748,7181,1,le grou lake,45.85111111,-79.91416667,7.2,2.4,1313554.04
3749,7181,1,le grou lake,45.85111111,-79.91416667,9.9,2.7,1313554.04
3750,7181,1,le grou lake,45.85111111,-79.91416667,8,2.7,1313554.04
3751,7181,1,le grou lake,45.85111111,-79.91416667,9.7,2.7,1313554.04
3752,7181,1,le grou lake,45.85111111,-79.91416667,7.3,2.7,1313554.04
3753,7181,1,le grou lake,45.85111111,-79.91416667,10.4,2.7,1313554.04
3754,7181,1,le grou lake,45.85111111,-79.91416667,7.5,2.4,1313554.04
3755,7181,1,le grou lake,45.85111111,-79.91416667,15.1,2.5,1313554.04
3756,7181,1,le grou lake,45.85111111,-79.91416667,5.8,3,1313554.04
3757,2529,1,leech lake,45.05,-79.1,8.55,2.8,811319.93
