Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long
BAGOT LONG LAKE,171,1,451415,763855,2000,4.5,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2001,4.4,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2002,4.8,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2003,4.6,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2004,5,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2005,4.5,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2006,4.6,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2007,3.1,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2008,4.5,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2009,5,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2010,4.2,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2011,4,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2012,4.8,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2013,3.8,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2014,4.2,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2016,3.3,45,14,15,76,38,55
BALLANTYNE LAKE,7037,1,455837,790903,2001,4.1,45,58,37,79,09,03
BALSAM LAKE,6902,2,443759,785022,2001,5.3,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2002,5,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2003,5.5,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2004,6.1,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2005,5.9,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2006,3.9,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2007,4.7,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2008,4.5,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2009,5.4,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2010,4.7,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2011,5.1,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2012,5.5,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2013,5.8,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2014,4.8,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2015,5.1,44,37,59,78,50,22
BALSAM LAKE,6902,2,443759,785022,2016,5.4,44,37,59,78,50,22
BALSAM LAKE,6902,3,443332,785311,2001,4.6,44,33,32,78,53,11
BALSAM LAKE,6902,3,443332,785311,2002,4.5,44,33,32,78,53,11
BALSAM LAKE,6902,3,443332,785311,2003,4.6,44,33,32,78,53,11
BALSAM LAKE,6902,3,443332,785311,2004,4.3,44,33,32,78,53,11
BALSAM LAKE,6902,3,443332,785311,2006,3.6,44,33,32,78,53,11
BALSAM LAKE,6902,3,443332,785311,2007,3.9,44,33,32,78,53,11
BALSAM LAKE,6902,4,443436,785040,1996,4.5,44,34,36,78,50,40
BALSAM LAKE,6902,4,443436,785040,1998,4.3,44,34,36,78,50,40
BALSAM LAKE,6902,4,443436,785040,2001,6,44,34,36,78,50,40
BALSAM LAKE,6902,5,443748,784843,1996,4,44,37,48,78,48,43
