Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
ANSTRUTHER LAKE,96,2,444407,781355,1992,6.8,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,1993,5.2,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,1994,5,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,1995,5.1,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,1998,4.5,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,1999,6.1,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,2000,4.6,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,2001,6.2,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,2002,4.9,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,2003,5.9,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,2004,5,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,2005,5.5,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,2006,5,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
