Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
AHMIC LAKE,32,2,453908,794324,2008,12.27,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2009,8.74,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2010,9.316666667,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2011,8.95,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2012,7.416666667,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2013,8.95,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2014,9.68,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2015,8.083333333,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2016,7.516666667,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AIRD LAKE,33,2,450781,770451,2014,8.6,45,7,81,77,4,51,,45.13916667,,45.13916667,,77.08083333,,77.08083333,,-77.08083333,,-77.08083333
AIRD LAKE,33,2,450781,770451,2015,6.3,45,7,81,77,4,51,,45.13916667,,45.13916667,,77.08083333,,77.08083333,,-77.08083333,,-77.08083333
