ID,Date,HPI,Year,Latitude,Longitude,area,house_price,Real_price
200,2005/01,0.7,2005,45.22694145,-79.62881726,55072.24,2799065,1959345.5
201,2005/01,0.7,2005,44.61557413,-78.89831281,45295.18,155000,108500
202,2005/01,0.7,2005,45.19846052,-79.4673842,14817.91,185000,129500
203,2005/01,0.7,2005,44.87224031,-77.79725799,250.01,140000,98000
204,2005/01,0.7,2005,44.87859464,-77.80230727,347176.66,140000,98000
205,2005/01,0.7,2005,45.3686399,-79.0875012,4808.94,149000,104300
206,2005/01,0.7,2005,44.69711624,-79.39890399,1387.53,115000,80500
207,2005/01,0.7,2005,44.71731177,-79.14718036,6534.61,70000,49000
208,2005/01,0.7,2005,44.71650896,-79.14654744,1688.96,70000,49000
209,2005/01,0.7,2005,44.53488595,-78.72789229,1085.6,154900,108430
210,2005/01,0.7,2005,45.77511529,-79.39910099,1931.26,166000,116200
211,2005/01,0.7,2005,45.03457871,-79.31302923,25097.16,209000,146300
212,2005/01,0.7,2005,45.88662705,-79.43258277,2245.19,55000,38500
213,2005/01,0.7,2005,45.83569021,-79.41894021,405855.38,118000,82600
214,2005/01,0.7,2005,45.1030533,-79.29030365,1233.57,165000,115500
215,2005/01,0.7,2005,44.91080238,-79.35893861,763.44,287500,201250
216,2005/01,0.7,2005,44.96748116,-79.43017906,2012.22,233333,163333.1
217,2005/01,0.7,2005,45.04361492,-79.37554079,156809.11,60000,42000
218,2005/01,0.7,2005,45.04518517,-79.38431258,180.66,60000,42000
219,2005/01,0.7,2005,44.92138318,-79.37873021,827.61,143000,100100
220,2005/01,0.7,2005,44.96747164,-79.43084738,403.51,233333,163333.1
221,2005/01,0.7,2005,44.96698613,-79.43040504,2858.7,233333,163333.1
222,2005/01,0.7,2005,45.37610846,-79.93615466,168349.4,115000,80500
223,2005/01,0.7,2005,45.49607449,-79.89450512,49650.85,482500,337750
224,2005/01,0.7,2005,45.34373574,-80.03856893,584.71,330000,231000
225,2005/01,0.7,2005,45.06095599,-79.30328642,2253.79,240000,168000
226,2005/01,0.7,2005,45.04686658,-79.31635856,2550.91,170000,119000
227,2005/01,0.7,2005,45.37457571,-79.13713608,2124.35,75000,52500
228,2005/01,0.7,2005,45.04690461,-79.30903806,2435.53,139000,97300
229,2005/01,0.7,2005,45.35799006,-79.12735264,1421.34,215000,150500
230,2005/01,0.7,2005,45.21068793,-78.41834147,2426.11,4.00E+05,280000
231,2005/01,0.7,2005,45.22677513,-78.65411498,45625.85,148700,104090
232,2005/01,0.7,2005,44.37834731,-78.43998082,1702,169000,118300
233,2005/01,0.7,2005,45.24718045,-78.98092193,1356.39,199000,139300
234,2005/01,0.7,2005,44.72184841,-78.06299548,193359.6,137500,96250
235,2005/01,0.7,2005,44.56149472,-78.34214874,6321.81,275000,192500
236,2005/01,0.7,2005,44.43694306,-78.35212256,2786.29,232000,162400
237,2005/01,0.7,2005,44.45632601,-78.3865919,1115.7,180895,126626.5
238,2005/01,0.7,2005,44.45514972,-78.39929363,1820.69,315000,220500
239,2005/01,0.7,2005,45.16708964,-80.13477812,2200.95,110000,77000
240,2005/01,0.7,2005,45.34599196,-80.04392628,1951.63,72000,50400
241,2005/01,0.7,2005,45.28608235,-79.81482963,8174.26,180000,126000
242,2005/01,0.7,2005,44.47296888,-78.6618337,542.27,117000,81900
243,2005/01,0.7,2005,45.14545716,-79.66174569,1837.92,485000,339500
244,2005/01,0.7,2005,45.12288841,-79.6906947,16490.79,1650000,1155000
245,2005/01,0.7,2005,45.12351385,-79.69033794,140.29,1650000,1155000
246,2005/01,0.7,2005,44.92703051,-78.7258932,1438.05,349000,244300
247,2005/01,0.7,2005,45.61449016,-79.37227839,4007.25,115000,80500
248,2005/01,0.7,2005,45.35505912,-80.02767114,899.15,215000,150500
249,2005/01,0.7,2005,45.36343126,-80.04463585,3683.02,110000,77000
250,2005/01,0.7,2005,45.25720044,-79.1780057,25722.23,225000,157500
251,2005/01,0.7,2005,45.33271006,-79.22451402,921.96,150000,105000
252,2005/01,0.7,2005,45.25830554,-79.17381713,63741.26,225000,157500
253,2005/01,0.7,2005,45.1038598,-78.76086522,3781.53,125000,87500
254,2005/01,0.7,2005,44.83991987,-79.45554996,5625.17,1.00E+05,70000
255,2005/01,0.7,2005,44.48564514,-78.21733385,8564.74,675000,472500
256,2005/01,0.7,2005,44.47232189,-78.16684728,6190.3,175000,122500
257,2005/01,0.7,2005,44.5348137,-78.16051441,3796.93,160000,112000
258,2005/02,0.702,2005,44.77865385,-79.32292616,1602.59,280000,196560
259,2005/02,0.702,2005,44.53760278,-78.73384772,676.08,140000,98280
260,2005/02,0.702,2005,44.52425214,-78.52261717,7649.91,86000,60372
261,2005/02,0.702,2005,44.5780729,-78.77881804,1256.53,226000,158652
262,2005/02,0.702,2005,45.62257831,-79.72164247,5773,2.00E+05,140400
263,2005/02,0.702,2005,45.60707942,-79.69951373,21585.36,84112,59046.624
264,2005/02,0.702,2005,45.34028885,-79.15799318,12390.24,136822,96049.044
265,2005/02,0.702,2005,45.02614123,-79.38460146,765.83,238000,167076
266,2005/02,0.702,2005,45.04350786,-79.4298004,1586.06,86000,60372
267,2005/02,0.702,2005,44.92812184,-79.38177849,822.01,160000,112320
268,2005/02,0.702,2005,45.04365995,-79.43007425,489.83,114000,80028
269,2005/02,0.702,2005,45.04352512,-79.43069991,2054.6,495000,347490
270,2005/02,0.702,2005,45.33919104,-79.15677478,16091.63,450000,315900
271,2005/02,0.702,2005,45.03884977,-79.31271484,1000.79,140000,98280
272,2005/02,0.702,2005,45.2542585,-78.5724375,3034.47,170000,119340
273,2005/02,0.702,2005,45.10882981,-78.633195,34758.27,88750,62302.5
274,2005/02,0.702,2005,44.75640021,-78.33463741,8118.12,480000,336960
275,2005/02,0.702,2005,44.34683256,-78.31409642,315.37,228500,160407
276,2005/02,0.702,2005,44.41914689,-78.27678402,921.35,127500,89505
277,2005/02,0.702,2005,45.14478559,-79.69309782,30658.77,2430000,1705860
278,2005/02,0.702,2005,45.39741525,-80.17873361,4111.24,230000,161460
279,2005/02,0.702,2005,44.86632794,-79.55023094,5702.26,237900,167005.8
280,2005/02,0.702,2005,44.86594173,-79.54993349,6312.89,237900,167005.8
281,2005/02,0.702,2005,44.41640723,-78.27329386,508.42,141000,98982
282,2005/02,0.702,2005,45.32441017,-79.90956629,878393.75,200500,140751
283,2005/02,0.702,2005,45.33266563,-79.92306872,323249.88,200500,140751
284,2005/02,0.702,2005,45.03569737,-79.32060743,958.37,281188,197393.976
285,2005/02,0.702,2005,45.03249935,-78.60486402,11611.18,1950000,1368900
286,2005/02,0.702,2005,45.03330072,-79.3144464,985.08,340000,238680
287,2005/02,0.702,2005,45.03315952,-79.31486549,581.88,340000,238680
288,2005/02,0.702,2005,45.17256709,-78.51488128,27314.31,350000,245700
289,2005/02,0.702,2005,44.75045909,-79.31677603,7219.83,242500,170235
290,2005/02,0.702,2005,44.65010772,-78.79797643,189179.45,120000,84240
291,2005/02,0.702,2005,44.40964641,-78.54801288,4042.47,153500,107757
292,2005/02,0.702,2005,44.5681867,-78.76862693,3246.76,305000,214110
293,2005/02,0.702,2005,45.60763852,-79.73993126,14575.83,125000,87750
294,2005/02,0.702,2005,45.57688883,-79.90863245,4986.38,240000,168480
295,2005/02,0.702,2005,45.68667036,-79.66540006,12483.22,190000,133380
296,2005/02,0.702,2005,45.03678237,-79.29983595,6095.06,107000,75114
297,2005/02,0.702,2005,45.15753269,-79.40700455,100005.52,85000,59670
298,2005/02,0.702,2005,45.3584614,-79.13587493,1397.04,178000,124956
299,2005/02,0.702,2005,45.32476462,-79.22053918,546.9,115000,80730
300,2005/02,0.702,2005,45.22408954,-78.63888552,2873.38,150000,105300
301,2005/02,0.702,2005,44.6957048,-78.31800918,2832.7,75000,52650
302,2005/02,0.702,2005,45.3049014,-78.98816264,322401.34,70000,49140
303,2005/02,0.702,2005,44.59588836,-78.13776351,8110.86,170000,119340
304,2005/02,0.702,2005,44.80955548,-79.71043515,4564.98,425000,298350
305,2005/02,0.702,2005,45.08191724,-79.48540284,37.27,195000,136890
306,2005/02,0.702,2005,45.08225051,-79.48490218,3489.97,195000,136890
307,2005/02,0.702,2005,45.04052381,-78.78364559,653814.7,175000,122850
308,2005/02,0.702,2005,45.0506721,-78.77801694,187967.47,175000,122850
309,2005/02,0.702,2005,45.04805236,-78.78538987,347291.8,175000,122850
310,2005/02,0.702,2005,45.05272221,-78.77464855,69.75,175000,122850
311,2005/02,0.702,2005,45.04526917,-78.78976694,41327.52,175000,122850
312,2005/02,0.702,2005,45.0505717,-78.772569,124809.61,175000,122850
313,2005/02,0.702,2005,44.37808793,-78.38655355,2118.09,57000,40014
314,2005/02,0.702,2005,45.35459962,-79.12628167,15841.44,225000,157950
315,2005/02,0.702,2005,45.22342019,-79.28328156,999.37,155000,108810
316,2005/02,0.702,2005,45.14721004,-78.70816864,2955.61,120000,84240
317,2005/02,0.702,2005,45.29484455,-80.0671227,27248.54,113000,79326
318,2005/02,0.702,2005,45.29422548,-80.06872787,27003.88,113000,79326
319,2005/02,0.702,2005,44.64104508,-78.8037904,3454.44,120000,84240
320,2005/02,0.702,2005,44.73460505,-79.38205345,2208.71,172186,120874.572
321,2005/02,0.702,2005,44.93543599,-79.3828025,1814.02,87900,61705.8
322,2005/02,0.702,2005,45.06487809,-79.46855632,1827.24,52169,36622.638
323,2005/02,0.702,2005,44.99599845,-78.10585759,5653.07,222000,155844
324,2005/02,0.702,2005,44.3947961,-78.1354934,86850.09,80000,56160
325,2005/02,0.702,2005,44.52386823,-78.72617823,4113.45,328500,230607
326,2005/02,0.702,2005,45.76680905,-79.39787679,792.92,75500,53001
327,2005/02,0.702,2005,45.118952,-79.58122379,6621.89,153000,107406
328,2005/02,0.702,2005,45.32049952,-79.22249772,1439.74,80000,56160
329,2005/02,0.702,2005,45.37466679,-78.91140808,4770.25,103500,72657
330,2005/02,0.702,2005,45.16698133,-78.58523143,31457.15,282000,197964
331,2005/02,0.702,2005,44.70900422,-79.38045129,664.07,120000,84240
332,2005/02,0.702,2005,44.37243064,-78.50348117,2116.63,230000,161460
333,2005/02,0.702,2005,45.05125267,-78.39677048,2338.57,160000,112320
334,2005/02,0.702,2005,45.3598384,-80.02705486,806.62,130900,91891.8
335,2005/02,0.702,2005,45.17136162,-79.00909663,1721.09,212500,149175
336,2005/02,0.702,2005,44.99627397,-79.57025283,82.95,53115,37286.73
337,2005/02,0.702,2005,44.59753874,-78.42616798,3837.42,205000,143910
338,2005/02,0.702,2005,44.74815896,-79.31602368,1777.42,185000,129870
339,2005/02,0.702,2005,44.64569129,-78.86250844,9384.63,175000,122850
340,2005/02,0.702,2005,44.59923348,-78.73472625,4160.48,295000,207090
341,2005/02,0.702,2005,45.22102474,-79.26325146,10513.23,2.00E+05,140400
342,2005/02,0.702,2005,45.27588813,-79.31352089,19342.24,130000,91260
343,2005/02,0.702,2005,45.05201649,-79.34278008,6503.19,255000,179010
344,2005/02,0.702,2005,44.94193644,-78.73686882,1356.5,56000,39312
345,2005/02,0.702,2005,44.92640342,-78.66784238,4055.49,351000,246402
346,2005/02,0.702,2005,45.31425528,-79.24793774,3110.65,140000,98280
347,2005/02,0.702,2005,45.03634811,-78.98322815,209013.62,55000,38610
348,2005/02,0.702,2005,44.75574057,-78.47420437,2114.25,319000,223938
349,2005/02,0.702,2005,44.75218377,-78.47661923,2522.39,319000,223938
350,2005/02,0.702,2005,44.75385185,-78.47673765,21057.91,319000,223938
351,2005/02,0.702,2005,44.75065777,-78.47802761,1576.46,319000,223938
352,2005/02,0.702,2005,44.47777104,-78.65816529,652.94,59900,42049.8
353,2005/02,0.702,2005,44.5321292,-78.73976159,865.79,196000,137592
354,2005/02,0.702,2005,45.84984408,-79.49823523,5035.43,64000,44928
355,2005/02,0.702,2005,45.16323681,-79.54833015,8735.21,8.00E+05,561600
356,2005/02,0.702,2005,44.77887529,-79.33369456,2603.28,155000,108810
357,2005/02,0.702,2005,44.60656386,-78.02082227,5844.59,203000,142506
358,2005/02,0.702,2005,45.17199206,-78.58107867,1854.23,70000,49140
359,2005/02,0.702,2005,45.47944069,-79.99444489,8747.25,132000,92664
360,2005/02,0.702,2005,45.5400382,-79.18610826,4176.52,1.00E+05,70200
