Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long
ANSTRUTHER LAKE,96,2,444407,781355,2014,4.6,44,44,07,78,13,55
ANSTRUTHER LAKE,96,3,444541,781203,2004,5,44,45,41,78,12,03
ANSTRUTHER LAKE,96,4,444418,781338,2004,5.05,44,44,18,78,13,38
ANSTRUTHER LAKE,96,5,444432,781212,2010,3.3,44,44,32,78,12,12
ANTRIM LAKE,99,1,465609,813731,2004,7.85,46,56,09,81,37,31
APSEY LAKE,106,1,461231,814657,2010,13.6,46,12,31,81,46,57
APSEY LAKE,106,2,461255,814628,2010,12.5,46,12,55,81,46,28
APSEY LAKE,106,3,461339,814549,2010,11.7,46,13,39,81,45,49
APSEY LAKE,106,4,461349,814516,2010,11.25,46,13,49,81,45,16
ARDOCH LAKE,2776,1,445553,765146,2004,15.1,44,55,53,76,51,46
ARDOCH LAKE,2776,2,445551,765152,2010,5.3,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2011,9.2,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2012,6.6,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2013,6.3,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2014,7,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2015,7.6,44,55,51,76,51,52
ARDOCH LAKE,2776,2,445551,765152,2016,6.18333333333333,44,55,51,76,51,52
ARGYLE LAKE,7412,1,480243,805142,2005,8,48,02,43,80,51,42
ARGYLE LAKE,7412,2,480206,805120,2005,8.35,48,02,06,80,51,20
ARMISHAW LAKE,5041,1,451401,794623,2012,9.5,45,14,01,79,46,23
ARMISHAW LAKE,5041,1,451401,794623,2013,4.3,45,14,01,79,46,23
ARMISHAW LAKE,5041,1,451401,794623,2015,5.63333333333333,45,14,01,79,46,23
ARMSTRONG LAKE,120,1,495818,942300,2002,18,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2003,9.25,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2004,12,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2005,10.9,49,58,18,94,23,00
ARMSTRONG LAKE,120,1,495818,942300,2006,9.4,49,58,18,94,23,00
