"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","61.0","","","","1"
"2004-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","61.4","","","","1"
"2004-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","61.6","","","","1"
"2004-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","62.3","","","","1"
"2004-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","63.0","","","","1"
"2004-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","63.5","","","","1"
"2004-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","63.6","","","","1"
"2004-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","63.9","","","","1"
"2004-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","64.0","","","","1"
"2004-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","64.2","","","","1"
"2004-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","64.5","","","","1"
"2004-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","64.7","","","","1"
"2005-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","64.9","","","","1"
"2005-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","65.0","","","","1"
"2005-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","65.2","","","","1"
"2005-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","65.6","","","","1"
"2005-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","66.0","","","","1"
"2005-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","66.0","","","","1"
"2005-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","66.2","","","","1"
"2005-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","66.3","","","","1"
